,number_1,number_2,intersect_loc,time+loc_15,target,time+log+angle
0,158500411793,158500437133,0.0,0,0,0
1,158500411793,158500611579,0.0,0,0,0
2,158500411793,158500670731,0.0,0,0,0
3,158500411793,158500730293,0.0,0,0,0
4,158500411793,158500730487,0.0,0,0,0
5,158500411793,158500832267,0.0,0,0,0
6,158500411793,158500941403,0.0,0,0,0
7,158500411793,158501037171,0.0,0,0,0
8,158500411793,158501551109,0.0,0,0,0
9,158500411793,158501557263,0.0,0,0,0
10,158500411793,158502336809,0.0,0,0,0
11,158500411793,158502683611,0.0,0,0,0
12,158500411793,158502911917,0.0,0,0,0
13,158500411793,158503439635,0.0,0,0,0
14,158500411793,158503476701,0.0,0,0,0
15,158500411793,158503536671,0.0,0,0,0
16,158500411793,158503655953,0.0,0,0,0
17,158500411793,158503697375,0.0,0,0,0
18,158500411793,158503800973,0.0,0,0,0
19,158500411793,158503845079,0.0,0,0,0
20,158500411793,158503851673,0.0,0,0,0
21,158500411793,158503892443,0.0,0,0,0
22,158500411793,158504104657,0.0,0,0,0
23,158500411793,158504189539,0.0,0,0,0
24,158500411793,158504562579,0.0,0,0,0
25,158500411793,158505222935,0.0,0,0,0
26,158500411793,158505407647,0.0,0,0,0
27,158500411793,158505653139,0.0,0,0,0
28,158500411793,158505653213,0.0,0,0,0
29,158500411793,158506086437,0.0,0,0,0
30,158500411793,158506092285,0.0,0,0,0
31,158500411793,158506490105,0.0,0,0,0
32,158500411793,158506598841,0.0,0,0,0
33,158500411793,158506811071,0.0,0,0,0
34,158500411793,158507025965,0.0,0,0,0
35,158500411793,158507135235,0.0,0,0,0
36,158500411793,158507158161,0.0,0,0,0
37,158500411793,158507183223,0.0,0,0,0
38,158500411793,158507531557,0.0,0,0,0
39,158500411793,158507587401,0.0,0,0,0
40,158500411793,158507606357,0.0,0,0,0
41,158500411793,158507689477,0.0,0,0,0
42,158500411793,158508364921,0.0,0,0,0
43,158500411793,158508364923,0.0,0,0,0
44,158500411793,158508415291,0.0,0,0,0
45,158500411793,158508437897,0.0,0,0,0
46,158500411793,158508570305,0.0,0,0,0
47,158500411793,158508828513,0.0,0,0,0
48,158500411793,158508828521,0.0,0,0,0
49,158500411793,158509296887,0.0,0,0,0
50,158500411793,158510090027,0.0,0,0,0
51,158500411793,158510912383,0.0,0,0,0
52,158500411793,158514064335,0.0,0,0,0
53,158500411793,158514064369,0.0,0,0,0
54,158500411793,158514202267,0.0,0,0,0
55,158500411793,158514202411,0.0,0,0,0
56,158500411793,158514437601,0.0,0,0,0
57,158500411793,158515580887,0.0,0,0,0
58,158500411793,158515581635,0.0,0,0,0
59,158500411793,158515590685,0.0,0,0,0
60,158500411793,158515687371,0.0,0,0,0
61,158500411793,158515687709,0.0,0,0,0
62,158500411793,158515729817,0.0,0,0,0
63,158500411793,158515886411,0.0,0,0,0
64,158500411793,158516086365,0.0,0,0,0
65,158500411793,158516497707,0.0,0,0,0
66,158500411793,158516597249,0.0,0,0,0
67,158500411793,158516637869,0.0,0,0,0
68,158500411793,158516797249,0.0,0,0,0
69,158500411793,158516799767,0.0,0,0,0
70,158500411793,158516882001,0.0,0,0,0
71,158500411793,158516995351,0.0,0,0,0
72,158500411793,158516997599,0.0,0,0,0
73,158500411793,158517166011,0.0,0,0,0
74,158500411793,158517520405,0.0,0,0,0
75,158500411793,158517547861,0.0,0,0,0
76,158500411793,158517840695,0.0,0,0,0
77,158500411793,158520030347,0.0,0,0,0
78,158500411793,158520675947,0.0,0,0,0
79,158500411793,158520756013,0.0,0,0,0
80,158500411793,158520806509,0.0,0,0,0
81,158500411793,158520842209,0.0,0,0,0
82,158500411793,158520843211,0.0,0,0,0
83,158500411793,158520883527,0.0,0,0,0
84,158500411793,158521057825,0.0,0,0,0
85,158500411793,158521139133,0.0,0,0,0
86,158500411793,158521231333,0.0,0,0,0
87,158500411793,158521241823,0.0,0,0,0
88,158500411793,158521282171,0.0,0,0,0
89,158500411793,158521754357,0.0,0,0,0
90,158500411793,158521773577,0.0,0,0,0
91,158500411793,158522134689,0.0,0,0,0
92,158500411793,158522134783,0.0,0,0,0
93,158500411793,158522171733,0.0,0,0,0
94,158500411793,158522426187,0.0,0,0,0
95,158500411793,158522529493,0.0,0,0,0
96,158500411793,158522532707,0.0,0,0,0
97,158500411793,158522566517,0.0,0,0,0
98,158500411793,158522679977,0.0,0,0,0
99,158500411793,158522775359,0.0,0,0,0
100,158500411793,158522775393,0.0,0,0,0
101,158500411793,158522835021,0.0,0,0,0
102,158500411793,158522930839,0.0,0,0,0
103,158500411793,158522944879,0.0,0,0,0
104,158500411793,158523242175,0.0,0,0,0
105,158500411793,158523272017,0.0,0,0,0
106,158500411793,158523272037,0.0,0,0,0
107,158500411793,158523324811,0.0,0,0,0
108,158500411793,158523696303,0.0,0,0,0
109,158500411793,158524002695,0.0,0,0,0
110,158500411793,158524011011,0.0,0,0,0
111,158500411793,158524011019,0.0,0,0,0
112,158500411793,158524011021,0.0,0,0,0
113,158500411793,158524011029,0.0,0,0,0
114,158500411793,158524011043,0.0,0,0,0
115,158500411793,158524011325,0.0,0,0,0
116,158500411793,158524011355,0.0,0,0,0
117,158500411793,158524417875,0.0,0,0,0
118,158500411793,158524891611,0.0,0,0,0
119,158500411793,158524898803,0.0,0,0,0
120,158500411793,158524968365,0.0,0,0,0
121,158500411793,158525418999,0.0,0,0,0
122,158500411793,158525436943,0.0,0,0,0
123,158500411793,158525436983,0.0,0,0,0
124,158500411793,158525444655,0.0,0,0,0
125,158500411793,158525537939,0.0,0,0,0
126,158500411793,158525734415,0.0,0,0,0
127,158500411793,158525739649,0.0,0,0,0
128,158500411793,158525746715,0.0,0,0,0
129,158500411793,158525778735,0.0,0,0,0
130,158500411793,158526252825,0.0,0,0,0
131,158500411793,158526303217,0.0,0,0,0
132,158500411793,158526325669,0.0,0,0,0
133,158500411793,158526470823,0.0,0,0,0
134,158500411793,158526548205,0.0,0,0,0
135,158500411793,158526548239,0.0,0,0,0
136,158500411793,158526742489,0.0,0,0,0
137,158500411793,158526768253,0.0,0,0,0
138,158500411793,158526820167,0.0,0,0,0
139,158500411793,158526876459,0.0,0,0,0
140,158500411793,158527014991,0.0,0,0,0
141,158500411793,158527183389,0.0,0,0,0
142,158500411793,158527185851,0.0,0,0,0
143,158500411793,158527501713,0.0,0,0,0
