,x,y,key
0,144.65196,128.97922,1
1,107.25991,34.474815,1
2,13.737649,2.046186,0
3,261.78873,-72.93174,0
4,267.28577,-103.16268,0
5,261.78873,-72.93174,0
6,134.31853,-94.00115,0
7,55.087055,-11.549106,0
8,32.26258,-73.42953,0
9,261.78873,-72.93174,0
10,-28.053873,18.820768,0
11,55.032818,-23.09629,0
12,232.94545,24.12067,0
13,29.518024,-18.739231,0
14,-19.020445,9.943573,0
15,12.459646,-118.06011,0
16,219.37086,17.015858,0
17,217.94896,-2.1287863,0
18,67.69061,-29.840164,0
19,-0.10968953,-71.3166,0
20,-9.953643,16.468042,0
21,-117.66877,24.895763,0
22,-71.46269,-1.3216805,0
23,261.78873,-72.93174,0
24,232.99193,-36.070587,0
25,207.0292,19.205297,0
26,208.87975,-21.529419,0
27,232.99193,-36.070587,0
28,36.96868,7.7646585,0
29,-254.47603,-47.056934,2
30,100.091576,-140.77582,0
31,-241.58218,153.34131,0
32,-241.58218,153.34131,0
33,-254.47603,-47.056934,2
34,-36.24878,-20.568188,0
35,-10.715404,-99.42543,0
36,-0.10968953,-71.3166,0
37,-105.903656,-10.258615,0
38,98.02689,-79.798775,0
39,232.99193,-36.070587,0
40,32.26258,-73.42953,0
41,-241.58218,153.34131,0
42,-11.003078,-279.35043,2
43,112.13656,-124.79744,0
44,-105.903656,-10.258615,0
45,-0.10968953,-71.3166,0
46,-166.80373,22.857288,2
47,112.13656,-124.79744,0
48,-241.58218,153.34131,0
49,112.13656,-124.79744,0
50,112.8589,-92.33373,0
51,-0.10968953,-71.3166,0
52,-0.10968953,-71.3166,0
53,-254.47603,-47.056934,2
54,122.86654,-108.891975,0
55,-184.58932,-168.2918,2
56,19.67188,-98.026535,0
57,28.433527,132.06726,1
58,12.459646,-118.06011,0
59,18.591501,-47.611225,0
60,17.890774,18.451984,0
61,-241.58218,153.34131,0
62,18.591501,-47.611225,0
63,261.78873,-72.93174,0
64,232.99193,-36.070587,0
65,232.99193,-36.070587,0
66,119.41478,-142.72226,0
67,217.94896,-2.1287863,0
68,-46.634106,-68.28519,0
69,71.97167,-38.91661,0
70,217.94896,-2.1287863,0
71,-65.35466,-23.192827,0
72,74.29623,50.174416,1
73,208.87975,-21.529419,0
74,198.00482,-5.8735766,0
75,261.78873,-72.93174,0
76,50.82651,-0.9081007,0
77,233.73093,10.513633,0
78,232.99193,-36.070587,0
79,27.853022,-3.9944253,0
80,112.13656,-124.79744,0
81,199.48225,6.467475,0
82,217.94896,-2.1287863,0
83,42.3986,-19.19056,0
84,-241.58218,153.34131,0
85,144.65196,128.97922,1
86,-56.58328,-9.413829,0
87,172.44452,136.57478,1
88,17.890774,18.451984,0
89,112.8589,-92.33373,0
90,261.78873,-72.93174,0
91,34.27739,148.2467,1
92,100.414185,-108.4332,0
93,-0.10968953,-71.3166,0
94,37.82592,46.30851,0
95,261.78873,-72.93174,0
96,-46.106247,-29.006088,0
97,134.31853,-94.00115,0
98,-241.58218,153.34131,0
99,-268.17865,-21.23054,2
100,-241.58218,153.34131,0
101,-197.11647,-190.38736,2
102,-105.903656,-10.258615,0
103,-117.66877,24.895763,0
104,199.48225,6.467475,0
105,112.76868,-73.31709,0
106,-10.715404,-99.42543,0
107,122.86654,-108.891975,0
108,112.8589,-92.33373,0
109,-0.10968953,-71.3166,0
110,-0.10968953,-71.3166,0
111,-241.58218,153.34131,0
112,261.78873,-72.93174,0
113,100.414185,-108.4332,0
114,32.26258,-73.42953,0
115,-46.106247,-29.006088,0
116,-268.17865,-21.23054,2
117,37.82592,46.30851,0
118,-241.58218,153.34131,0
119,-241.58218,153.34131,0
120,132.50066,-127.67498,0
121,-56.58328,-9.413829,0
122,232.99193,-36.070587,0
123,-241.58218,153.34131,0
124,-241.58218,153.34131,0
125,232.99193,-36.070587,0
126,-10.715404,-99.42543,0
127,-10.715404,-99.42543,0
128,-0.10968953,-71.3166,0
129,-105.903656,-10.258615,0
130,-241.58218,153.34131,0
131,261.78873,-72.93174,0
132,100.414185,-108.4332,0
133,100.414185,-108.4332,0
134,261.78873,-72.93174,0
135,232.99193,-36.070587,0
136,42.3986,-19.19056,0
137,40.3779,-93.74941,0
138,-74.333244,57.946445,1
139,122.86654,-108.891975,0
140,261.78873,-72.93174,0
141,30.090088,63.452404,0
142,-49.157288,-75.80298,0
143,-74.333244,57.946445,1
144,208.87975,-21.529419,0
145,-241.58218,153.34131,0
146,62.075535,-38.193016,0
147,-125.76948,-22.516201,2
148,218.8289,29.755219,0
149,-11.003078,-279.35043,2
150,140.80933,-110.446465,0
151,208.87975,-21.529419,0
152,93.010735,-127.32437,0
153,261.78873,-72.93174,0
154,208.87975,-21.529419,0
155,80.075905,-124.583534,0
156,208.87975,-21.529419,0
157,-130.88443,-42.389015,2
158,-56.58328,-9.413829,0
159,261.78873,-72.93174,0
160,-105.903656,-10.258615,0
161,17.890774,18.451984,0
162,92.37772,-91.55171,0
163,232.99193,-36.070587,0
164,132.50066,-127.67498,0
165,132.50066,-127.67498,0
166,208.87975,-21.529419,0
167,261.78873,-72.93174,0
168,27.853022,-3.9944253,0
169,-0.10968953,-71.3166,0
170,208.87975,-21.529419,0
171,-0.10968953,-71.3166,0
172,-268.17865,-21.23054,2
173,-0.10968953,-71.3166,0
174,112.13656,-124.79744,0
175,42.166237,-7.3414373,0
176,-268.17865,-21.23054,2
177,9.718669,125.84756,1
178,48.3898,64.789536,1
179,-0.10968953,-71.3166,0
180,144.65196,128.97922,1
181,165.76973,108.28588,1
182,165.76973,108.28588,1
183,261.78873,-72.93174,0
184,165.76973,108.28588,1
185,165.76973,108.28588,1
186,165.76973,108.28588,1
187,165.76973,108.28588,1
188,165.76973,108.28588,1
189,165.76973,108.28588,1
190,144.65196,128.97922,1
191,144.65196,128.97922,1
192,144.65196,128.97922,1
193,144.65196,128.97922,1
194,165.76973,108.28588,1
195,144.65196,128.97922,1
196,144.65196,128.97922,1
197,144.65196,128.97922,1
198,144.65196,128.97922,1
199,144.65196,128.97922,1
200,-103.19258,216.70862,1
201,-120.888374,210.90712,1
202,-25.447369,68.240105,1
203,107.25991,34.474815,1
204,-187.88814,-4.9780693,2
205,-120.13623,193.62715,1
206,72.03616,67.76539,1
207,85.47578,151.11336,1
208,72.03616,67.76539,1
209,-102.03579,199.05501,1
210,92.49102,48.09108,1
211,111.55329,48.18416,1
212,-107.10422,114.422714,1
213,-83.20819,191.8318,1
214,-92.622086,166.77888,1
215,136.47194,35.40961,1
216,-43.0807,75.35527,1
217,-27.197954,85.433426,1
218,25.679832,184.64676,1
219,-114.60747,133.09663,1
220,77.76216,152.24942,1
221,-83.20819,191.8318,1
222,-102.03579,199.05501,1
223,-83.20819,191.8318,1
224,74.29623,50.174416,1
225,123.74746,38.750393,1
226,72.03616,67.76539,1
227,-36.925518,-39.879574,0
228,-132.7737,200.33154,1
229,-110.3496,14.412737,0
230,165.76973,108.28588,1
231,-105.903656,-10.258615,0
232,-0.10968953,-71.3166,0
233,-0.10968953,-71.3166,0
234,-92.622086,166.77888,1
235,-268.17865,-21.23054,2
236,-0.10968953,-71.3166,0
237,-0.10968953,-71.3166,0
238,-241.58218,153.34131,0
239,-74.333244,57.946445,1
240,-74.333244,57.946445,1
241,40.86944,166.71411,1
242,23.343643,112.841095,1
243,-241.58218,153.34131,0
244,165.76973,108.28588,1
245,-114.60747,133.09663,1
246,-114.60747,133.09663,1
247,-74.333244,57.946445,1
248,40.3779,-93.74941,0
249,-7.5074344,124.999596,1
250,261.78873,-72.93174,0
