,college,Accommodation,City Life,Clubs and Societies,Course and Lecturers,Facilities,Job Prospects,OVERALL UNIVERSITY RATING,Student Support,Students' Union,Uni Facilities
98,University of Essex Online,3.8234880450070325,4.119005064045279,3.753659000190078,5.0,4.005865102639296,5.0,5.0,5.0,5.0,5.0
99,University of Exeter,3.904626800523787,4.517241379310345,4.512994120692932,4.310344827586207,4.005865102639293,4.568965517241379,4.655172413793103,4.155172413793103,3.8755311217655364,4.379310344827586
100,University of Glasgow,3.8546517685054917,4.651233464623396,4.357868170394304,4.107407407407408,4.005865102639292,4.311236995422388,4.37037037037037,3.988888888888889,4.083840159371887,4.285185185185185
101,University of Gloucestershire,3.8234880450070325,4.0,3.0,2.0,4.005865102639296,2.0,1.0,2.0,3.0,2.0
102,University of Greenwich,3.785850914205346,4.329520405123622,3.8405854400304134,3.84,4.005865102639294,4.124595505617978,4.24,4.12,3.7234241518720337,4.0
103,University of Hertfordshire,3.695147679324896,4.037865247650771,3.9222840455495844,4.409090909090909,4.005865102639295,4.459767620020429,4.409090909090909,4.409090909090909,4.144145799709168,4.363636363636363
104,University of Huddersfield,3.7239532619279454,3.3846153846153846,3.404690538505402,3.6923076923076925,4.005865102639297,4.076923076923077,3.8461538461538463,4.076923076923077,3.769230769230769,4.153846153846154
105,University of Hull,3.854471991278219,3.8789767209028905,3.966647508910603,3.834319526627219,4.005865102639292,4.132896748886377,4.14792899408284,3.905325443786982,3.795432064994109,4.236686390532545
106,University of Kent,3.8234880450070325,5.0,4.0,2.0,4.005865102639296,1.0,2.0,2.0,1.0,4.0
107,University of Law Online,3.8234880450070325,3.2797512660113197,3.5652442501425585,3.5,4.005865102639296,4.25,3.5,4.0,2.6738003164000705,3.5
108,University of Leeds,3.8234880450070325,4.5,4.5,4.0,4.005865102639296,4.0,4.0,4.0,4.5,4.5
109,University of Lincoln,3.8234880450070325,4.166666666666667,4.333333333333333,3.8333333333333335,4.005865102639297,3.8333333333333335,4.0,3.6666666666666665,4.0,4.5
110,University of Liverpool,3.7176175625267507,4.654243566331222,3.8897349652487936,3.860869565217391,4.005865102639292,3.951822178798241,4.0,3.6695652173913045,3.9995827187478517,3.991304347826087
111,University of Manchester,3.899136025718304,4.428571428571429,3.8219512857414393,4.071428571428571,4.005865102639297,3.7939205457463885,3.7857142857142856,3.5714285714285716,3.857142857142857,3.9285714285714284
112,University of Northampton,3.8234880450070325,1.0,4.0,3.0,4.005865102639296,3.0,2.0,3.0,1.0,1.0
113,University of Nottingham,3.911744022503516,3.5,4.5,3.0,4.005865102639296,2.5,2.5,2.0,3.5,3.0
114,University of Oxford,3.769052456112935,4.194000375114466,4.324209592599633,4.111111111111111,4.005865102639294,4.267769454848106,4.2592592592592595,3.888888888888889,3.0885334270815017,4.444444444444445
115,University of Plymouth,3.0,3.5,4.5,3.0,4.005865102639296,4.5,3.0,3.5,4.0,4.0
116,University of Reading,3.7850267989508457,3.5586865686061393,3.882649994605895,3.8054054054054056,4.005865102639292,3.9484300030367447,3.881081081081081,3.745945945945946,3.9576822032086585,3.810810810810811
117,University of Roehampton,3.860103141115797,3.9052891139575676,3.4531436777967857,3.7111111111111112,4.005865102639292,3.7162172284644197,3.8333333333333335,3.8777777777777778,3.90772445850667,4.011111111111111
118,University of Sheffield,3.7024572649572614,4.25,3.9522045384761593,3.798076923076923,4.005865102639292,3.897544835782196,4.028846153846154,3.9326923076923075,4.564376935246157,4.355769230769231
119,University of South Wales,3.8129113924050633,3.7942806076854323,3.2058049800418176,4.08,4.0058651026392935,4.16,4.22,3.86,3.5556161012480225,4.04
120,University of Southampton,4.101721975139697,4.351351351351352,4.945945945945946,4.594594594594595,4.0058651026392935,4.62472669298512,4.72972972972973,4.351351351351352,4.621621621621622,4.54054054054054
121,University of St Andrews,3.859450695421158,3.4927225035580713,4.201490527783058,4.222222222222222,4.005865102639293,4.0,4.194444444444445,4.0,4.0428556082889004,4.027777777777778
122,University of Stirling,3.7450773558368495,4.333333333333333,4.043496166761706,3.8333333333333335,4.005865102639297,4.038295880149813,4.333333333333333,4.0,3.615866877600047,3.8333333333333335
123,University of Strathclyde,3.8018635724331906,4.109941474355605,3.90111195590192,3.7058823529411766,4.005865102639293,3.7811012888301385,3.9558823529411766,3.8676470588235294,3.961623566635302,4.102941176470588
124,University of Sunderland,3.8234880450070325,4.039668354681759,2.584553000063359,3.3333333333333335,4.005865102639296,3.3333333333333335,3.3333333333333335,3.0,3.231733755200094,3.0
125,University of Surrey,3.746867701518726,3.1959359191939063,3.663347568833497,3.8440366972477062,4.005865102639292,4.352839913410989,3.889908256880734,3.871559633027523,3.3764918940624185,3.963302752293578
126,University of Sussex,3.6870547139793852,4.30620504255849,3.713714590195093,3.7459016393442623,4.005865102639292,3.6796647633081587,3.8934426229508197,3.860655737704918,3.5954689665705177,4.065573770491803
127,University of Wales Trinity Saint David,3.9327406067912394,4.1598578662921835,4.464808428598582,4.428571428571429,4.005865102639297,4.5,4.642857142857143,4.357142857142857,4.549657233257163,4.142857142857143
128,University of Warwick,3.719509744826199,2.859267947572237,3.995601053574823,3.9107142857142856,4.005865102639293,4.109194422150883,3.982142857142857,4.017857142857143,3.7624143083142907,3.982142857142857
129,University of West London,3.8234880450070325,5.0,5.0,5.0,4.005865102639296,4.0,5.0,5.0,5.0,5.0
130,"University of Westminster, London",3.3823253633380213,3.6666666666666665,3.9178863333966922,2.6666666666666665,4.005865102639297,3.0,2.8333333333333335,3.3333333333333335,2.4492002109333804,3.1666666666666665
131,University of Winchester,3.8234880450070325,2.0,4.0,2.0,4.005865102639296,4.0,2.0,1.0,3.0,4.0
132,University of Wolverhampton,3.7698819633605702,3.2383928537761637,3.0961409367714188,3.7848101265822787,4.005865102639293,4.171828331674014,3.5443037974683542,3.962025316455696,3.371422977053207,4.0
133,University of Worcester,3.8838241589058984,4.226340425434656,3.9009295345618527,4.079283887468031,4.005865102639292,4.29252852093451,4.278772378516624,4.202046035805626,3.810592434181097,4.1918158567774935
134,University of the Arts London,3.8132238440366306,4.222088601550998,3.1119968277903,3.7583732057416266,4.005865102639292,3.574681468738239,3.825358851674641,3.8038277511961724,3.2123446489952476,3.9665071770334928
135,University of the Highlands and Islands (UHI),3.8234880450070325,4.059502532022639,3.753659000190078,3.0,4.005865102639296,4.557443820224719,2.5,3.0,4.5,3.5
136,University of the West of Scotland,3.7744725738396614,3.3805505908052824,3.405081416714187,3.9833333333333334,4.005865102639293,3.759573970037453,3.966666666666667,3.9166666666666665,3.4941202320267175,3.6333333333333333
137,West Herts College,3.8234880450070325,4.119005064045279,3.7536590001900776,3.3333333333333335,4.0,3.8333333333333335,4.0,3.5,3.6952012656002817,4.085604223141675
138,Westminster Kingsway College,3.8234880450070357,4.1190050640452816,3.75365900019008,3.727272727272727,3.1515151515151514,3.6095420497105892,3.242424242424242,3.5454545454545454,3.6952012656002786,4.085604223141673
139,dBs Music,3.8234880450070357,4.654059121414428,4.176901058845893,4.411764705882353,4.005865102639294,4.594993390614673,4.588235294117647,4.705882352941177,3.840047356611831,4.735294117647059
