,0,1,2,3,4,5,6,7,8,9,10,Date
41,5:15 PM,"82 
F","58 
F","44 
%",SW,"20 
mph","33 
mph","28.9 
in","0.0 
in","0.0 
in",Thunder,2018-05-09
42,5:53 PM,"80 
F","59 
F","48 
%",WSW,"18 
mph","33 
mph","28.9 
in","0.0 
in","0.0 
in",Thunder,2018-05-09
43,6:06 PM,"80 
F","57 
F","45 
%",WSW,"22 
mph","33 
mph","28.9 
in","0.0 
in","0.0 
in",Mostly Cloudy / Windy,2018-05-09
44,6:53 PM,"80 
F","59 
F","48 
%",WSW,"16 
mph","25 
mph","29.0 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
45,7:53 PM,"78 
F","58 
F","50 
%",W,"16 
mph","0 
mph","29.0 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
46,8:53 PM,"74 
F","57 
F","55 
%",WNW,"20 
mph","25 
mph","29.0 
in","0.0 
in","0.0 
in",Fair,2018-05-09
47,9:53 PM,"72 
F","58 
F","61 
%",W,"12 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Fair,2018-05-09
48,10:53 PM,"69 
F","57 
F","65 
%",WNW,"14 
mph","21 
mph","29.1 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-09
49,11:53 AM,"70 
F","53 
F","55 
%",WNW,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Fair,2018-05-10
50,1:53 AM,"63 
F","55 
F","75 
%",W,"8 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-10
51,3:53 AM,"61 
F","55 
F","81 
%",W,"8 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Fair,2018-05-10
52,4:53 AM,"59 
F","55 
F","87 
%",W,"7 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Fair,2018-05-10
53,5:53 AM,"59 
F","55 
F","87 
%",W,"8 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Fair,2018-05-10
54,6:53 AM,"60 
F","55 
F","83 
%",W,"9 
mph","0 
mph","29.2 
in","0.0 
in","0.2 
in",Fair,2018-05-10
55,7:53 AM,"62 
F","54 
F","75 
%",NW,"12 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-10
56,8:25 AM,"63 
F","54 
F","72 
%",NW,"12 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
57,8:53 AM,"63 
F","54 
F","72 
%",WNW,"13 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-10
58,9:53 AM,"64 
F","54 
F","70 
%",NW,"10 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-10
59,10:53 AM,"67 
F","53 
F","61 
%",N,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
60,11:24 AM,"68 
F","53 
F","59 
%",WNW,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-10
61,2:53 AM,"62 
F","55 
F","78 
%",W,"7 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-10
62,12:53 PM,"72 
F","53 
F","51 
%",VAR,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Fair,2018-05-10
63,1:53 PM,"70 
F","54 
F","57 
%",E,"14 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Fair,2018-05-10
64,2:53 PM,"68 
F","53 
F","59 
%",ENE,"14 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
65,3:53 PM,"67 
F","52 
F","59 
%",NE,"12 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
66,4:53 PM,"65 
F","51 
F","61 
%",E,"15 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
67,5:53 PM,"66 
F","51 
F","59 
%",E,"12 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
68,6:53 PM,"64 
F","51 
F","63 
%",E,"10 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Fair,2018-05-10
69,7:53 PM,"61 
F","50 
F","67 
%",E,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
70,8:53 PM,"60 
F","50 
F","69 
%",E,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
71,9:53 PM,"59 
F","49 
F","69 
%",NE,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
72,10:53 PM,"58 
F","49 
F","72 
%",ENE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-10
73,11:53 PM,"58 
F","47 
F","67 
%",ENE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-10
74,12:53 PM,"53 
F","45 
F","74 
%",ENE,"14 
mph","26 
mph","29.3 
in","0.0 
in","0.0 
in",Light Rain,2018-05-11
75,12:53 AM,"53 
F","47 
F","80 
%",NNE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
76,2:53 AM,"51 
F","41 
F","68 
%",N,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
77,3:53 AM,"50 
F","41 
F","71 
%",NE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
78,4:53 AM,"50 
F","41 
F","71 
%",ENE,"15 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
79,5:53 AM,"51 
F","43 
F","74 
%",NE,"16 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
80,6:53 AM,"51 
F","43 
F","74 
%",ENE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Rain,2018-05-11
81,7:53 AM,"50 
F","44 
F","80 
%",ENE,"18 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
82,8:53 AM,"52 
F","43 
F","71 
%",ENE,"18 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
83,9:53 AM,"52 
F","44 
F","74 
%",ENE,"16 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
84,10:53 AM,"53 
F","44 
F","71 
%",ENE,"15 
mph","26 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
85,11:53 AM,"52 
F","43 
F","71 
%",ENE,"14 
mph","21 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
86,12:37 PM,"52 
F","45 
F","77 
%",E,"17 
mph","28 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
87,1:53 AM,"51 
F","41 
F","68 
%",NE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
88,1:53 PM,"55 
F","47 
F","74 
%",E,"14 
mph","24 
mph","29.3 
in","0.0 
in","0.0 
in",Light Rain,2018-05-11
89,2:53 PM,"56 
F","45 
F","67 
%",E,"15 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Light Rain,2018-05-11
90,3:53 PM,"56 
F","44 
F","64 
%",ENE,"16 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
91,4:53 PM,"53 
F","44 
F","71 
%",NE,"16 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-11
92,5:37 PM,"51 
F","43 
F","74 
%",ENE,"20 
mph","26 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-11
93,5:53 PM,"51 
F","43 
F","74 
%",NE,"20 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-11
94,6:53 PM,"49 
F","43 
F","80 
%",NE,"15 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
95,7:53 PM,"50 
F","44 
F","80 
%",NE,"15 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-11
96,8:53 PM,"50 
F","44 
F","80 
%",ENE,"16 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
97,9:53 PM,"50 
F","44 
F","80 
%",ENE,"14 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
98,10:53 PM,"50 
F","44 
F","80 
%",NE,"15 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
99,11:53 PM,"50 
F","44 
F","80 
%",ENE,"12 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-11
100,12:20 PM,"52 
F","45 
F","77 
%",NE,"16 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
